Frequency [Hz], |S00| [-], |S10| [-], |S20| [-], Arg(S00) [-], Arg(S10) [-], Arg(S20) [-], Delay 0>0 [s], Delay 0>1 [s], Delay 0>2 [s], |Z0| [Ohm] , Arg(Z0) [-]
1.442600e+09, 1.340931e-01, 7.163158e-01, 7.252476e-01, 2.453284e+00, -3.934726e-01, -5.819982e-01, 8.153511e-11, 4.250654e-11, 6.691556e-11, 6.145899e+01, -1.717701e-01
1.446400e+09, 1.341216e-01, 7.163112e-01, 7.252498e-01, 2.451337e+00, -3.944875e-01, -5.835959e-01, 8.144232e-11, 4.251776e-11, 6.696727e-11, 6.144075e+01, -1.722056e-01
1.450200e+09, 1.341499e-01, 7.163064e-01, 7.252515e-01, 2.449393e+00, -3.955027e-01, -5.851948e-01, 8.134724e-11, 4.252817e-11, 6.701711e-11, 6.142247e+01, -1.726398e-01
1.454000e+09, 1.341780e-01, 7.163015e-01, 7.252529e-01, 2.447451e+00, -3.965181e-01, -5.867949e-01, 8.125069e-11, 4.253769e-11, 6.706496e-11, 6.140414e+01, -1.730728e-01
1.457800e+09, 1.342060e-01, 7.162965e-01, 7.252539e-01, 2.445511e+00, -3.975337e-01, -5.883962e-01, 8.115349e-11, 4.254622e-11, 6.711071e-11, 6.138578e+01, -1.735046e-01
1.461600e+09, 1.342338e-01, 7.162914e-01, 7.252543e-01, 2.443573e+00, -3.985496e-01, -5.899985e-01, 8.105647e-11, 4.255368e-11, 6.715427e-11, 6.136738e+01, -1.739352e-01
1.465400e+09, 1.342616e-01, 7.162861e-01, 7.252543e-01, 2.441638e+00, -3.995656e-01, -5.916019e-01, 8.096045e-11, 4.256001e-11, 6.719555e-11, 6.134895e+01, -1.743647e-01
1.469200e+09, 1.342893e-01, 7.162806e-01, 7.252538e-01, 2.439705e+00, -4.005818e-01, -5.932063e-01, 8.086622e-11, 4.256513e-11, 6.723451e-11, 6.133049e+01, -1.747931e-01
1.473000e+09, 1.343170e-01, 7.162749e-01, 7.252528e-01, 2.437774e+00, -4.015980e-01, -5.948116e-01, 8.077460e-11, 4.256899e-11, 6.727109e-11, 6.131200e+01, -1.752205e-01
1.476800e+09, 1.343447e-01, 7.162690e-01, 7.252512e-01, 2.435845e+00, -4.026144e-01, -5.964177e-01, 8.068635e-11, 4.257154e-11, 6.730527e-11, 6.129349e+01, -1.756469e-01
1.480600e+09, 1.343725e-01, 7.162629e-01, 7.252491e-01, 2.433919e+00, -4.036309e-01, -5.980247e-01, 8.060223e-11, 4.257274e-11, 6.733702e-11, 6.127496e+01, -1.760725e-01
1.484400e+09, 1.344003e-01, 7.162566e-01, 7.252465e-01, 2.431994e+00, -4.046473e-01, -5.996325e-01, 8.052296e-11, 4.257254e-11, 6.736636e-11, 6.125641e+01, -1.764972e-01
1.488200e+09, 1.344282e-01, 7.162500e-01, 7.252433e-01, 2.430072e+00, -4.056638e-01, -6.012409e-01, 8.044925e-11, 4.257093e-11, 6.739331e-11, 6.123784e+01, -1.769212e-01
1.492000e+09, 1.344563e-01, 7.162432e-01, 7.252395e-01, 2.428151e+00, -4.066802e-01, -6.028500e-01, 8.038175e-11, 4.256789e-11, 6.741788e-11, 6.121926e+01, -1.773444e-01
1.495800e+09, 1.344846e-01, 7.162362e-01, 7.252353e-01, 2.426232e+00, -4.076966e-01, -6.044597e-01, 8.032107e-11, 4.256340e-11, 6.744015e-11, 6.120066e+01, -1.777670e-01
1.499600e+09, 1.345130e-01, 7.162289e-01, 7.252304e-01, 2.424314e+00, -4.087128e-01, -6.060699e-01, 8.026780e-11, 4.255747e-11, 6.746015e-11, 6.118205e+01, -1.781890e-01
1.503400e+09, 1.345417e-01, 7.162213e-01, 7.252251e-01, 2.422398e+00, -4.097289e-01, -6.076806e-01, 8.022246e-11, 4.255010e-11, 6.747798e-11, 6.116343e+01, -1.786106e-01
1.507200e+09, 1.345706e-01, 7.162135e-01, 7.252193e-01, 2.420482e+00, -4.107449e-01, -6.092917e-01, 8.018554e-11, 4.254131e-11, 6.749372e-11, 6.114479e+01, -1.790317e-01
1.511000e+09, 1.345997e-01, 7.162055e-01, 7.252129e-01, 2.418568e+00, -4.117606e-01, -6.109032e-01, 8.015746e-11, 4.253112e-11, 6.750748e-11, 6.112614e+01, -1.794524e-01
1.514800e+09, 1.346292e-01, 7.161972e-01, 7.252061e-01, 2.416654e+00, -4.127761e-01, -6.125150e-01, 8.013859e-11, 4.251955e-11, 6.751937e-11, 6.110747e+01, -1.798729e-01
1.518600e+09, 1.346589e-01, 7.161887e-01, 7.251989e-01, 2.414740e+00, -4.137913e-01, -6.141271e-01, 8.012926e-11, 4.250665e-11, 6.752950e-11, 6.108879e+01, -1.802932e-01
1.522400e+09, 1.346890e-01, 7.161799e-01, 7.251912e-01, 2.412827e+00, -4.148062e-01, -6.157394e-01, 8.012972e-11, 4.249247e-11, 6.753803e-11, 6.107009e+01, -1.807133e-01
1.526200e+09, 1.347193e-01, 7.161710e-01, 7.251831e-01, 2.410914e+00, -4.158207e-01, -6.173520e-01, 8.014019e-11, 4.247704e-11, 6.754508e-11, 6.105137e+01, -1.811332e-01
1.530000e+09, 1.347500e-01, 7.161618e-01, 7.251746e-01, 2.409001e+00, -4.168349e-01, -6.189647e-01, 8.016079e-11, 4.246043e-11, 6.755082e-11, 6.103264e+01, -1.815532e-01
1.533800e+09, 1.347811e-01, 7.161524e-01, 7.251659e-01, 2.407087e+00, -4.178487e-01, -6.205775e-01, 8.019162e-11, 4.244271e-11, 6.755539e-11, 6.101388e+01, -1.819732e-01
1.537600e+09, 1.348125e-01, 7.161429e-01, 7.251568e-01, 2.405172e+00, -4.188621e-01, -6.221905e-01, 8.023269e-11, 4.242393e-11, 6.755897e-11, 6.099509e+01, -1.823933e-01
1.541400e+09, 1.348442e-01, 7.161331e-01, 7.251474e-01, 2.403256e+00, -4.198750e-01, -6.238035e-01, 8.028398e-11, 4.240417e-11, 6.756172e-11, 6.097628e+01, -1.828135e-01
